Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S188133827,Wood Duck,Aix sponsa,441,3,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-07-21,02:09 PM,eBird - Stationary Count,46,1,,,1,,,,,349
S189177545,Wood Duck,Aix sponsa,441,3,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-07-27,08:01 PM,eBird - Traveling Count,28,1,.644,,1,,,,,350
S169191914,Wood Duck,Aix sponsa,441,2,US-IL,Cook,L143490,Thatcher Woods Forest Preserve,41.8935699,-87.8297882,2024-04-18,11:50 AM,eBird - Traveling Count,68,1,2.414,,1,,,,,351
S166487676,Wood Duck,Aix sponsa,441,3,US-IL,Cook,L2187837,Zander Woods Forest Preserve--Sweet Woods,41.5573275,-87.6001847,2024-03-30,09:50 AM,eBird - Traveling Count,30,1,.483,,2,,"2 female, 1 male","High 40s, sunny",,352
S172015158,Blue-winged Teal,Spatula discors,468,4,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-05-04,04:05 PM,eBird - Stationary Count,24,1,,,1,,,On viewing platfrom,,353
S168842621,Blue-winged Teal,Spatula discors,468,5,US-IL,Cook,L4458400,Baker's Lake,42.1463508,-88.1231403,2024-04-15,06:30 PM,eBird - Traveling Count,125,1,3.219,,1,,,,,354
S172159074,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L152603,Bartel Grassland,41.5356,-87.7555,2024-05-04,05:28 AM,eBird - Traveling Count,63,1,1.689,,3,,,Walked trail from little pull off on central out into the middle.,,355
S172159667,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L152603,Bartel Grassland,41.5356,-87.7555,2024-05-04,06:35 AM,eBird - Traveling Count,19,1,.48,,1,,,Walked from main lot to bridge.,,356
S193587279,Blue-winged Teal,Spatula discors,468,29,US-IL,Cook,L351831,Burnham Park--Promontory Point,41.7960139,-87.5765064,2024-09-01,06:50 AM,eBird - Stationary Count,323,1,,,1,,N bound,"Winds NNW then slowly shifted to N, will begin another lakewatch in late afternoon as they shift NNE. Awesome bat migration, with individuals streaming over me 5 or so a minute, and hundreds out on the lake. Watched gulls hunt them down as well.",,357
S194006143,Blue-winged Teal,Spatula discors,468,8,US-IL,Cook,L311824,Busse Woods (Ned Brown Forest Preserve),42.0309342,-88.0101013,2024-09-04,09:04 AM,eBird - Traveling Count,120,1,2.414,,1,,,Thanks Isoo for the tip!,,358
S165721098,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L343390,Caldwell Preserves (Bunker Hill/Yates Flatwoods/Caldwell Woods),42.00125,-87.7851391,2024-03-23,12:25 PM,eBird - Traveling Count,74,1,2.092,,1,,,,,359
S168477027,Blue-winged Teal,Spatula discors,468,15,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-04-13,04:38 PM,eBird - Traveling Count,99,1,3.219,,3,,,With julia,,360
S169996601,Blue-winged Teal,Spatula discors,468,4,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-04-23,04:13 PM,eBird - Stationary Count,18,1,,,1,,,Just south pond where the limpkin was last year.,,361
S175194703,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-05-17,06:40 PM,eBird - Stationary Count,20,1,,,1,,,Stationary south lagoon,,362
S195969952,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L130994,Eggers Grove Forest Preserve (Chicago),41.6878052,-87.5272446,2024-09-21,01:14 PM,eBird - Traveling Count,48,1,1.931,,1,,,,,363
S196794831,Blue-winged Teal,Spatula discors,468,3,US-IL,Cook,L2942201,"Gillson Park (Willmette, Cook Co.)",42.0791724,-87.6854246,2024-09-28,07:11 AM,eBird - Traveling Count,454,1,3.334,,3,,,Pretty disappointing lake watch over all but some decent diversity of birds moving on the lake.,,364
S197492421,Blue-winged Teal,Spatula discors,468,21,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-04,06:33 AM,eBird - Stationary Count,300,1,,,2,,,"Good dabbler day, some diving other other waterbird arrivals. Slow start but picked up mid morning. Dead by 11am.",,365
S198090752,Blue-winged Teal,Spatula discors,468,20,US-IL,Cook,L37168161,"Illinois, US (41.764, -87.242)",41.7635968,-87.2418836,2024-10-08,09:04 AM,eBird - Traveling Count,60,1,12.328,,4,,,50's sunny west winds 10-13mph,,366
S191036779,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-11,07:13 AM,eBird - Traveling Count,139,1,1.636,,2,,,,,367
S191757989,Blue-winged Teal,Spatula discors,468,6,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-17,07:02 AM,eBird - Stationary Count,45,1,,,2,,,,,368
S191938446,Blue-winged Teal,Spatula discors,468,52,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-18,08:08 AM,eBird - Stationary Count,145,1,,,1,,Counted by 2s,"In early August, I had dreams that this location would produce a huge rarity for my big year. Days later, the Marbled Godwit showed up. And again, it attracted a Red-necked Phalarope this morning. Sensational!!!!!!!!!",,369
S192040549,Blue-winged Teal,Spatula discors,468,27,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-19,08:08 AM,eBird - Stationary Count,39,1,,,1,,,"Fewer shorbs, RNPH gone, waiting for it to recycle over the next few days. Praying for REKN, BBSA, WESA, BNST.",,370
S192141771,Blue-winged Teal,Spatula discors,468,27,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-20,06:59 AM,eBird - Stationary Count,57,1,,,1,,,,,371
S192243076,Blue-winged Teal,Spatula discors,468,35,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-21,07:01 AM,eBird - Stationary Count,66,1,,,1,,Counted by 1s,,,372
S192466351,Blue-winged Teal,Spatula discors,468,7,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-23,07:20 AM,eBird - Stationary Count,53,1,,,1,,,Please BNST im begging you.,,373
S193069282,Blue-winged Teal,Spatula discors,468,7,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-28,09:50 AM,eBird - Stationary Count,55,1,,,1,,,,,374
S193389410,Blue-winged Teal,Spatula discors,468,16,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-31,08:25 AM,eBird - Stationary Count,57,1,,,1,,,,,375
S168655210,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L164725,"Lincoln Park, Chicago--Jarvis Bird Sanctuary",41.948994,-87.6407,2024-04-14,03:10 PM,eBird - Traveling Count,62,1,1.287,,1,,,,,376
S165929212,Blue-winged Teal,Spatula discors,468,7,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-03-25,07:20 AM,eBird - Traveling Count,82,1,.966,,1,,"2 channel, 5 flyby north","Quick pass through hedge, mostly lakewatch before work",,377
S167873817,Blue-winged Teal,Spatula discors,468,10,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-04-09,06:30 AM,eBird - Traveling Count,112,1,3.701,,1,,,Walked around with Peter for a bit!,,378
S169152336,Blue-winged Teal,Spatula discors,468,3,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-04-18,06:15 AM,eBird - Traveling Count,136,1,2.414,,1,,,,,379
S170553377,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-04-27,06:30 AM,eBird - Traveling Count,253,1,4.828,,2,,,Metup with John Legge. Saw lots of birder friends!,,380
S172157896,Blue-winged Teal,Spatula discors,468,4,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-05-05,06:05 AM,eBird - Traveling Count,85,1,.805,,1,,,Before COS walk,,381
S173433752,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-05-11,06:00 AM,eBird - Traveling Count,83,1,1.609,,1,,,,,382
S173556907,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-05-11,07:40 AM,eBird - Traveling Count,140,1,2.414,,20,,,"Bird and plant walk with colleagues, partners, and friends!",,383
S191548077,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-08-15,06:03 AM,eBird - Stationary Count,161,1,,,1,,,"So lake county gets a BBSA and cook doesn't huh...    Light rain, exhausted, pondering life.",,384
S192586937,Blue-winged Teal,Spatula discors,468,78,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-08-24,06:54 AM,eBird - Traveling Count,208,1,1.448,,1,,"Counted by 1s, 2 different large flocks over lake",Gut told me to come here.,,385
S195950023,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-09-21,06:50 AM,eBird - Traveling Count,294,1,2.414,,1,,,,,386
S171784616,Blue-winged Teal,Spatula discors,468,9,US-IL,Cook,L294426,"Northerly Island, Chicago",41.8596139,-87.6085684,2024-05-03,06:05 PM,eBird - Stationary Count,20,1,,,1,,,,619004027,387
S166045513,Blue-winged Teal,Spatula discors,468,15,US-IL,Cook,L3934103,Park No. 566,41.7487879,-87.5365198,2024-03-26,07:25 AM,eBird - Traveling Count,120,1,2.092,,1,,,"winds from south but poor lake movement. Birds mostly flying to the south towards steelworkers, maybe because of the rain clouds?",,388
S194202125,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L3934103,Park No. 566,41.7487879,-87.5365198,2024-09-06,06:29 AM,eBird - Stationary Count,615,1,,,1,,Nb,Joined by Mike M a bit after I arrived. So great to meet him! Strong N winds and slightly from E but not enough for what I needed. Indiana got many PAJAs today. WHIM nice bird to always see.,,389
S194346480,Blue-winged Teal,Spatula discors,468,7,US-IL,Cook,L3934103,Park No. 566,41.7487879,-87.5365198,2024-09-07,06:53 AM,eBird - Traveling Count,623,1,2.414,,1,,Nb,Strong N wind with slight E component later in afternoon but nothing notable. Joined later by buddy Phil S who cooked up some food for us.,,390
S168548258,Blue-winged Teal,Spatula discors,468,8,US-IL,Cook,L11356834,Ridgeland Ave Fields and Fluddle,41.4743203,-87.7705823,2024-04-14,08:00 AM,eBird - Stationary Count,5,1,,,1,,,,,391
S196125341,Blue-winged Teal,Spatula discors,468,7,US-IL,Cook,L36783576,Shahzad Pelagic 2024-09-22 Leg 10,41.98389,-87.4965886,2024-09-22,10:03 AM,eBird Pelagic Protocol,26,1,6.116,,6,,,Shahzad Pelagic 2024-09-22 Leg 10.,,392
S196124970,Blue-winged Teal,Spatula discors,468,20,US-IL,Cook,L36783117,Shahzad Pelagic 2024-09-22 Leg 3,41.9513616,-87.3529887,2024-09-22,06:51 AM,eBird Pelagic Protocol,19,1,4.554,,6,,"At 41.93853 N, -87.32370 W",Shahzad Pelagic 2024-09-22 Leg 3.,,393
S196125334,Blue-winged Teal,Spatula discors,468,11,US-IL,Cook,L36783359,Shahzad Pelagic 2024-09-22 Leg 5,41.8867871,-87.3346524,2024-09-22,07:34 AM,eBird Pelagic Protocol,33,1,7.966,,6,,,Shahzad Pelagic 2024-09-22 Leg 5.,,394
S196125331,Blue-winged Teal,Spatula discors,468,13,US-IL,Cook,L36783403,Shahzad Pelagic 2024-09-22 Leg 6,41.9565079,-87.3288417,2024-09-22,08:08 AM,eBird Pelagic Protocol,31,1,7.5,,6,,,Shahzad Pelagic 2024-09-22 Leg 6.,,395
S196125329,Blue-winged Teal,Spatula discors,468,48,US-IL,Cook,L36783490,Shahzad Pelagic 2024-09-22 Leg 7,42.0153133,-87.3101047,2024-09-22,08:40 AM,eBird Pelagic Protocol,38,1,8.835,,6,,44+4,Shahzad Pelagic 2024-09-22 Leg 7.,,396
S194855911,Blue-winged Teal,Spatula discors,468,1,US-IL,Cook,L11647591,Skokie Lagoons Forest Preserve--North Branch Trail,42.1291257,-87.7750325,2024-09-12,09:57 AM,eBird - Traveling Count,113,1,1.931,,18,,,"Walk with Leader Gabel, IEC, FPDCC",,397
S168026075,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-10,12:08 PM,eBird - Traveling Count,34,1,.805,,1,,,Joined Matthew and Tom,,398
S168625624,Blue-winged Teal,Spatula discors,468,8,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-14,12:25 PM,eBird - Stationary Count,64,1,,,1,,,"Mostly with Jayne and Deb, saw Collin and Scott",,399
S169522842,Blue-winged Teal,Spatula discors,468,6,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-20,03:17 PM,eBird - Traveling Count,63,1,.966,,2,,,Metup with Tom Y,,400
S170766305,Blue-winged Teal,Spatula discors,468,4,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-28,11:31 AM,eBird - Stationary Count,15,1,,,2,,,With Keith B,,401
S169191914,Blue-winged Teal,Spatula discors,468,2,US-IL,Cook,L143490,Thatcher Woods Forest Preserve,41.8935699,-87.8297882,2024-04-18,11:50 AM,eBird - Traveling Count,68,1,2.414,,1,,,,,402
S165094130,Northern Shoveler,Spatula clypeata,483,7,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-16,06:20 PM,eBird - Traveling Count,84,1,1.609,,2,,,"With Julia,  Met up with Erick and Kate",,403
S165351698,Northern Shoveler,Spatula clypeata,483,6,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-18,06:50 PM,eBird - Traveling Count,60,1,.966,,10,,,"Chicago Ornithological Society American Woodcock Outing. Temps in mid 30s, low winds, great activity!",,404
S166204002,Northern Shoveler,Spatula clypeata,483,9,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-27,06:53 PM,eBird - Traveling Count,62,1,1.287,,10,,,"Chicago Ornithological Society Woodcock outing! Cold temps almost below freezing, decently strong, intermittent winds. Folks braved the cold for looks and woodcock displays, snipes, and other cool prairie birds!",,405
S166572564,Northern Shoveler,Spatula clypeata,483,7,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-30,07:05 PM,eBird - Stationary Count,60,1,,,3,,,High 30s,,406
S157778454,Northern Shoveler,Spatula clypeata,483,4,US-IL,Cook,L22825788,CVS Pond (143rd and Wolf Rd),41.628916,-87.893293,2024-01-01,03:50 PM,eBird - Traveling Count,15,1,.098,,2,,Counted by 1s with scope. Medium sized ducks with huge bills.,,,407
S195254838,Northern Shoveler,Spatula clypeata,483,3,US-IL,Cook,L447274,"Calumet Water Reclamation Plant, Chicago (RESTRICTED)",41.6697703,-87.6080704,2024-09-15,07:48 AM,eBird - Traveling Count,162,1,7.419,,17,,,The Urban Birding Festival field trip.,,408
S196265940,Northern Shoveler,Spatula clypeata,483,2,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-09-23,06:28 AM,eBird - Stationary Count,220,1,,,2,,,Mostly with Josh Engel and so great to meet him. Andy and Al arrived later in morning. Bummed about my jaeger fail and not getting on the grebe earlier. Strong N winds with a decent E component.,,409
S198535862,Northern Shoveler,Spatula clypeata,483,2,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-12,07:15 AM,eBird - Stationary Count,304,1,,,11,,Mixed w pintail,"Fun day for dabblers! Got Tarik his year bird Surf Scoter, and unexpectedly set the county high count for pintail! Cold front came through last night, and although it only dropped temps into the low 60s, it brought strong NE winds behind it that enabled the duck flight that we got. Winds were 17mph out of the NE from sunrise until they died down at about 10:30. The group consisted of Matthew Cvetas, Isoo O’Brien, Tarik Shahzad, Peter and Andrea Tolzmann, Josh Engel, Mark Ryan, Demond McDonald, and myself. Most of the group had left by 10AM, and around 11AM we were joined by Noah Whiteman for an hour or so. Hopefully the first of many record-breaking days this season.",,410
S167383692,Northern Shoveler,Spatula clypeata,483,4,US-IL,Cook,L224192,Killdeer (Tinley Creek) Wetlands,41.5439,-87.7545,2024-04-06,07:30 AM,eBird - Traveling Count,199,1,4.023,,1,,West pond,,,411
S191938446,Northern Shoveler,Spatula clypeata,483,2,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-18,08:08 AM,eBird - Stationary Count,145,1,,,1,,,"In early August, I had dreams that this location would produce a huge rarity for my big year. Days later, the Marbled Godwit showed up. And again, it attracted a Red-necked Phalarope this morning. Sensational!!!!!!!!!",,412
S192040549,Northern Shoveler,Spatula clypeata,483,1,US-IL,Cook,L344054,Lake Calumet area--Deadstick Pond,41.6708602,-87.5741673,2024-08-19,08:08 AM,eBird - Stationary Count,39,1,,,1,,,"Fewer shorbs, RNPH gone, waiting for it to recycle over the next few days. Praying for REKN, BBSA, WESA, BNST.",,413
S157765076,Northern Shoveler,Spatula clypeata,483,104,US-IL,Cook,L386084,Lake Katherine Nature Center and Botanic Gardens,41.6775894,-87.8023642,2024-01-01,02:40 PM,eBird - Traveling Count,10,1,.372,,2,,"Continuing large number of shovelers circling, feeding in the lake. Counted by 2s.",,612961996,414
S162750046,Northern Shoveler,Spatula clypeata,483,18,US-IL,Cook,L164437,McGinnis Slough Forest Preserve,41.642044,-87.86811,2024-02-24,09:55 AM,eBird - Stationary Count,18,1,,,1,,,Viewing orland lake from east looking west with scope.,,415
S164835999,Northern Shoveler,Spatula clypeata,483,X,US-IL,Cook,L152676,McGinnis Slough--East/La Grange Rd,41.6411368,-87.8564,2024-03-14,03:51 PM,eBird - Stationary Count,19,1,,,1,,,Looking at west end with scope from right path of trail from parking lot,,416
S169949079,Northern Shoveler,Spatula clypeata,483,2,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-04-23,06:05 AM,eBird - Traveling Count,155,1,2.253,,1,,,,,417
S170737861,Northern Shoveler,Spatula clypeata,483,1,US-IL,Cook,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,2024-04-28,06:30 AM,eBird - Traveling Count,200,1,3.219,,1,,,Metup with Melissa from last year's bird banding!,619005330,418
S167427798,Northern Shoveler,Spatula clypeata,483,7,US-IL,Cook,L152696,Orland Grassland,41.5758,-87.8605,2024-04-06,01:52 PM,eBird - Traveling Count,84,1,3.414,,2,,,,,419
S168026075,Northern Shoveler,Spatula clypeata,483,10,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-10,12:08 PM,eBird - Traveling Count,34,1,.805,,1,,,Joined Matthew and Tom,,420
S168625624,Northern Shoveler,Spatula clypeata,483,6,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-14,12:25 PM,eBird - Stationary Count,64,1,,,1,,,"Mostly with Jayne and Deb, saw Collin and Scott",,421
S168842621,Gadwall,Mareca strepera,487,8,US-IL,Cook,L4458400,Baker's Lake,42.1463508,-88.1231403,2024-04-15,06:30 PM,eBird - Traveling Count,125,1,3.219,,1,,,,,422
S197492421,Gadwall,Mareca strepera,487,3,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-04,06:33 AM,eBird - Stationary Count,300,1,,,2,,,"Good dabbler day, some diving other other waterbird arrivals. Slow start but picked up mid morning. Dead by 11am.",,423
S164305223,Gadwall,Mareca strepera,487,4,US-IL,Cook,L152605,Lake Calumet area--Big Marsh/Park #564,41.6882326,-87.5733733,2024-03-10,07:58 AM,eBird - Traveling Count,76,1,2.414,,1,,2m 2f,Walked full loop,615895071,424
S162750046,Gadwall,Mareca strepera,487,8,US-IL,Cook,L164437,McGinnis Slough Forest Preserve,41.642044,-87.86811,2024-02-24,09:55 AM,eBird - Stationary Count,18,1,,,1,,,Viewing orland lake from east looking west with scope.,,425
S164835999,Gadwall,Mareca strepera,487,X,US-IL,Cook,L152676,McGinnis Slough--East/La Grange Rd,41.6411368,-87.8564,2024-03-14,03:51 PM,eBird - Stationary Count,19,1,,,1,,,Looking at west end with scope from right path of trail from parking lot,,426
S167427798,Gadwall,Mareca strepera,487,1,US-IL,Cook,L152696,Orland Grassland,41.5758,-87.8605,2024-04-06,01:52 PM,eBird - Traveling Count,84,1,3.414,,2,,,,,427
S201286407,Gadwall,Mareca strepera,487,3,US-IL,Cook,L3934103,Park No. 566,41.7487879,-87.5365198,2024-11-03,07:35 AM,eBird - Stationary Count,251,1,,,5,,,"LW with SE winds, more S than E",625799467,428
S159602033,Gadwall,Mareca strepera,487,1,US-IL,Cook,L552730,"River Park, Chicago",41.9739848,-87.7039111,2024-01-21,11:36 AM,eBird - Traveling Count,37,1,.563,,10,,,,,429
S165157239,Gadwall,Mareca strepera,487,4,US-IL,Cook,L4322243,Skokie Lagoons Forest Preserve,42.1160807,-87.7710307,2024-03-16,11:25 AM,eBird - Traveling Count,107,1,2.414,,1,,,Weirdly hard to bird here. Parked on forest way,,430
S168026075,Gadwall,Mareca strepera,487,4,US-IL,Cook,L4789089,Techny Basin--north of Willow Rd.,42.1097167,-87.8096223,2024-04-10,12:08 PM,eBird - Traveling Count,34,1,.805,,1,,,Joined Matthew and Tom,,431
S196794831,American Wigeon,Mareca americana,497,5,US-IL,Cook,L2942201,"Gillson Park (Willmette, Cook Co.)",42.0791724,-87.6854246,2024-09-28,07:11 AM,eBird - Traveling Count,454,1,3.334,,3,,"Exact count. 2,1,2 all southbound",Pretty disappointing lake watch over all but some decent diversity of birds moving on the lake.,,432
S196265940,American Wigeon,Mareca americana,497,1,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-09-23,06:28 AM,eBird - Stationary Count,220,1,,,2,,,Mostly with Josh Engel and so great to meet him. Andy and Al arrived later in morning. Bummed about my jaeger fail and not getting on the grebe earlier. Strong N winds with a decent E component.,,433
S197492421,American Wigeon,Mareca americana,497,17,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-04,06:33 AM,eBird - Stationary Count,300,1,,,2,,,"Good dabbler day, some diving other other waterbird arrivals. Slow start but picked up mid morning. Dead by 11am.",,434
S198535862,American Wigeon,Mareca americana,497,3,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-12,07:15 AM,eBird - Stationary Count,304,1,,,11,,"1 with a mallard, 2 with a pintail flock","Fun day for dabblers! Got Tarik his year bird Surf Scoter, and unexpectedly set the county high count for pintail! Cold front came through last night, and although it only dropped temps into the low 60s, it brought strong NE winds behind it that enabled the duck flight that we got. Winds were 17mph out of the NE from sunrise until they died down at about 10:30. The group consisted of Matthew Cvetas, Isoo O’Brien, Tarik Shahzad, Peter and Andrea Tolzmann, Josh Engel, Mark Ryan, Demond McDonald, and myself. Most of the group had left by 10AM, and around 11AM we were joined by Noah Whiteman for an hour or so. Hopefully the first of many record-breaking days this season.",,435
S199011720,American Wigeon,Mareca americana,497,2,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-15,07:20 AM,eBird - Stationary Count,238,1,,,1,,,"Lakewatch. Brutal 48 degrees, 20mph winds mostly from N with varying slight E component, wish it was stronger. Targets not attained.",,436
S162750046,American Wigeon,Mareca americana,497,5,US-IL,Cook,L164437,McGinnis Slough Forest Preserve,41.642044,-87.86811,2024-02-24,09:55 AM,eBird - Stationary Count,18,1,,,1,,,Viewing orland lake from east looking west with scope.,,437
S164835999,American Wigeon,Mareca americana,497,X,US-IL,Cook,L152676,McGinnis Slough--East/La Grange Rd,41.6411368,-87.8564,2024-03-14,03:51 PM,eBird - Stationary Count,19,1,,,1,,,Looking at west end with scope from right path of trail from parking lot,,438
S196929932,American Wigeon,Mareca americana,497,2,US-IL,Cook,L3934103,Park No. 566,41.7487879,-87.5365198,2024-09-29,07:19 AM,eBird - Traveling Count,266,1,2.804,,4,,,,,439
S159922353,Mallard,Anas platyrhynchos,525,X,US-IL,Cook,L28964928,"12926–12998 S Stony Island Ave, Chicago US-IL (41.6638,-87.5754)",41.663823,-87.575376,2024-01-27,10:35 AM,eBird - Stationary Count,25,1,,,1,,,,,440
S160073417,Mallard,Anas platyrhynchos,525,6,US-IL,Cook,L28964928,"12926–12998 S Stony Island Ave, Chicago US-IL (41.6638,-87.5754)",41.663823,-87.575376,2024-01-28,09:36 AM,eBird - Stationary Count,18,1,,,1,,,,,441
S164222455,Mallard,Anas platyrhynchos,525,2,US-IL,Cook,L29746113,"20356–20426 Stony Island Ave, Lynwood US-IL Yellow headed Blackbird Alex H's find (41.5267,-87.5782)",41.526664,-87.578234,2024-03-09,10:19 AM,eBird - Stationary Count,122,1,,,1,F Flyover,,"Yellow headed blackbird stakeout, did not return from what I could tell using bins and scanning blackbird flocks that would visit and leave",,442
S166205445,Mallard,Anas platyrhynchos,525,X,US-IL,Cook,L30128609,3.27.24 Ruff Location Walmart field,41.4837412,-87.7508006,2024-03-27,05:15 PM,eBird - Stationary Count,30,1,,,1,F Flyover,,"What a chase. Got the notification at 3:10ish (thanks so much Jeff and Linda!), checked google maps and it said trip time was 1hr 45min due to traffic. Had the privilege of doing it anyway. So lucky the bird stayed. My 2nd ever ruff, the first being in Boone county. SENSATIONAL bird for my year!",,443
S161087547,Mallard,Anas platyrhynchos,525,22,US-IL,Cook,L19222244,57-80 Warehouse Campus Retention Ponds,41.5808736,-87.7294563,2024-02-10,07:30 AM,eBird - Stationary Count,5,1,,,1,F Flyover,6 in water,,,444
S163085627,Mallard,Anas platyrhynchos,525,45,US-IL,Cook,L19222244,57-80 Warehouse Campus Retention Ponds,41.5808736,-87.7294563,2024-02-27,08:30 AM,eBird - Stationary Count,8,1,,,1,,,Quick stop,,445
S167387136,Mallard,Anas platyrhynchos,525,X,US-IL,Cook,L19222244,57-80 Warehouse Campus Retention Ponds,41.5808736,-87.7294563,2024-04-06,11:00 AM,eBird - Stationary Count,8,1,,,1,,,,,446
S162804094,Mallard,Anas platyrhynchos,525,3,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-02-24,04:40 PM,eBird - Traveling Count,35,1,.805,,1,,,No redpoll &#x1f972;,,447
S165094130,Mallard,Anas platyrhynchos,525,X,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-16,06:20 PM,eBird - Traveling Count,84,1,1.609,,2,,Roosting at night,"With Julia,  Met up with Erick and Kate",,448
